Frame,Time,Dextran_Area,Dextran_Mean,Dextran_Min,Dextran_Max
346,256.04,90.161,5.322,3,22
347,256.78,90.161,4.446,3,16
348,257.52,90.161,5.158,3,23
349,258.26,90.161,5.61,3,20
350,259,90.161,4.96,3,16
351,259.74,90.161,5.492,3,18
352,260.48,90.161,5.373,3,22
353,261.22,90.161,5.028,3,14
354,261.96,90.161,4.74,3,17
355,262.7,90.161,4.994,3,27
356,263.44,90.161,4.678,3,9
357,264.18,90.161,5.124,4,20
358,264.92,90.161,4.588,3,13
359,265.66,90.161,5.271,3,105
360,266.4,90.161,4.819,3,20
361,267.14,90.161,5.136,3,17
362,267.88,90.161,5.706,3,38
363,268.62,90.161,4.729,3,18
364,269.36,90.161,5.09,3,12
365,270.1,90.161,4.836,3,16
366,270.84,90.161,4.836,3,18
367,271.58,90.161,4.559,3,14
368,272.32,90.161,5.486,3,24
369,273.06,90.161,5.418,3,18
370,273.8,90.161,5.198,3,15
371,274.54,90.161,4.802,3,15
372,275.28,90.161,4.599,3,21
373,276.02,90.161,5.203,3,20
374,276.76,90.161,5.802,3,38
375,277.5,90.161,4.695,3,21
376,278.24,90.161,4.605,3,10
377,278.98,90.161,4.311,3,13
378,279.72,90.161,4.893,3,24
379,280.46,90.161,4.429,3,22
380,281.2,90.161,4.751,3,14
381,281.94,90.161,4.638,3,13
382,282.68,90.161,4.345,3,18
383,283.42,90.161,4.734,3,17
384,284.16,90.161,4.915,3,18
385,284.9,90.161,4.373,3,14
386,285.64,90.161,4.751,3,11
387,286.38,90.161,4.706,3,23
388,287.12,90.161,4.356,3,16
389,287.86,90.161,5.209,3,33
390,288.6,90.161,4.701,3,17
391,289.34,90.161,5.243,3,17
392,290.08,90.161,5.407,3,17
393,290.82,90.161,5.989,3,44
394,291.56,90.161,4.938,3,21
395,292.3,90.161,5.407,3,32
396,293.04,90.161,5.379,4,18
397,293.78,90.161,5.056,3,20
398,294.52,90.161,5.186,3,14
399,295.26,90.161,5.04,3,14
400,296,90.161,5.989,3,34
401,296.74,90.161,5.734,3,18
402,297.48,90.161,5.056,3,21
403,298.22,90.161,5.288,3,16
404,298.96,90.161,5.446,3,19
405,299.7,90.161,6.938,3,91
406,300.44,90.161,6.034,3,27
407,301.18,90.161,5.011,3,17
408,301.92,90.161,5.441,3,19
409,302.66,90.161,5.706,3,20
410,303.4,90.161,5.52,3,21
411,304.14,90.161,5.61,3,24
412,304.88,90.161,5.531,3,16
413,305.62,90.161,5.723,3,21
414,306.36,90.161,5.316,3,18
415,307.1,90.161,5.232,3,13
416,307.84,90.161,5.661,3,21
417,308.58,90.161,5.373,3,16
418,309.32,90.161,4.949,3,16
419,310.06,90.161,4.932,3,28
420,310.8,90.161,5.842,3,19
421,311.54,90.161,4.785,3,19
422,312.28,90.161,5.124,3,21
423,313.02,90.161,5.689,3,50
424,313.76,90.161,5.395,3,22
425,314.5,90.161,5.921,3,25
426,315.24,90.161,4.525,3,16
427,315.98,90.161,6.401,3,104
428,316.72,90.161,4.768,3,19
429,317.46,90.161,4.966,3,24
430,318.2,90.161,5.158,3,25
431,318.94,90.161,7.802,3,50
432,319.68,90.161,5.48,3,28
433,320.42,90.161,5.633,3,38
434,321.16,90.161,5.571,3,15
435,321.9,90.161,6.944,3,27
436,322.64,90.161,5.153,3,13
437,323.38,90.161,5.757,3,19
438,324.12,90.161,5.486,3,16
439,324.86,90.161,8.785,3,50
440,325.6,90.161,6.712,4,41
441,326.34,90.161,6.65,3,27
442,327.08,90.161,5.497,3,25
443,327.82,90.161,6.554,3,31
444,328.56,90.161,6.48,3,40
445,329.3,90.161,5.565,3,33
446,330.04,90.161,5.915,3,26
447,330.78,90.161,5.989,3,29
448,331.52,90.161,9.746,3,140
449,332.26,90.161,5.887,3,26
450,333,90.161,5.831,3,19
451,333.74,90.161,6.316,3,57
452,334.48,90.161,5.96,3,24
453,335.22,90.161,7.017,3,37
454,335.96,90.161,6.633,3,30
455,336.7,90.161,6.169,4,41
456,337.44,90.161,6.017,3,35
457,338.18,90.161,5.684,3,19
458,338.92,90.161,5.412,3,31
459,339.66,90.161,7.61,4,32
460,340.4,90.161,6.209,3,36
461,341.14,90.161,5.972,3,22
462,341.88,90.161,5.282,3,31
463,342.62,90.161,5.944,3,40
464,343.36,90.161,5.548,3,29
465,344.1,90.161,5.881,3,33
466,344.84,90.161,6.322,3,25
467,345.58,90.161,5.87,3,29
468,346.32,90.161,5.949,3,45
469,347.06,90.161,9.893,3,57
470,347.8,90.161,6.582,4,31
471,348.54,90.161,6.345,3,29
472,349.28,90.161,6.802,3,35
473,350.02,90.161,6.893,3,43
474,350.76,90.161,6.458,3,37
475,351.5,90.161,7.096,4,30
476,352.24,90.161,6.814,3,42
477,352.98,90.161,7.316,4,30
478,353.72,90.161,10.096,4,45
479,354.46,90.161,7.797,3,45
480,355.2,90.161,8.073,4,36
481,355.94,90.161,9.096,4,150
482,356.68,90.161,8.288,4,41
483,357.42,90.161,7.384,3,35
484,358.16,90.161,7.61,3,28
485,358.9,90.161,9.915,4,59
486,359.64,90.161,7.514,4,51
487,360.38,90.161,7.797,4,36
488,361.12,90.161,8.22,4,36
489,361.86,90.161,8.418,4,41
490,362.6,90.161,7.791,4,39
491,363.34,90.161,8.096,4,44
492,364.08,90.161,9.514,4,35
493,364.82,90.161,8,4,40
494,365.56,90.161,6.655,3,33
495,366.3,90.161,8.237,4,67
496,367.04,90.161,7.497,4,35
497,367.78,90.161,7.39,3,36
498,368.52,90.161,7.61,3,48
499,369.26,90.161,7.729,3,50
500,370,90.161,9.757,4,41
501,370.74,90.161,9.395,3,50
502,371.48,90.161,8.475,3,83
503,372.22,90.161,7.977,3,48
504,372.96,90.161,7.531,3,65
505,373.7,90.161,7.785,3,39
506,374.44,90.161,7.475,3,45
507,375.18,90.161,7.525,3,48
508,375.92,90.161,8.503,3,44
509,376.66,90.161,8.09,3,43
510,377.4,90.161,7.006,3,39
511,378.14,90.161,7.684,3,61
512,378.88,90.161,7.52,3,44
513,379.62,90.161,7.458,3,50
514,380.36,90.161,7.508,3,40
515,381.1,90.161,7.04,3,69
516,381.84,90.161,8.26,3,37
517,382.58,90.161,7.299,3,51
518,383.32,90.161,7.249,3,52
519,384.06,90.161,6.599,3,32
520,384.8,90.161,7.028,3,58
521,385.54,90.161,6.932,3,34
522,386.28,90.161,6.819,3,27
523,387.02,90.161,7.034,3,33
524,387.76,90.161,7.627,3,41
525,388.5,90.161,9.35,3,54
526,389.24,90.161,7.927,3,35
527,389.98,90.161,8.028,3,35
528,390.72,90.161,7.379,3,33
529,391.46,90.161,6.797,3,40
530,392.2,90.161,6.932,3,36
531,392.94,90.161,7.277,3,45
532,393.68,90.161,8.938,3,44
533,394.42,90.161,8.107,3,72
534,395.16,90.161,7.147,3,29
535,395.9,90.161,6.751,3,32
536,396.64,90.161,6.328,3,32
537,397.38,90.161,6.887,3,40
538,398.12,90.161,6.537,3,39
539,398.86,90.161,6.593,3,28
540,399.6,90.161,7.023,3,42
541,400.34,90.161,6.825,3,43
542,401.08,90.161,6.497,3,38
543,401.82,90.161,6.932,3,36
544,402.56,90.161,7.588,4,54
545,403.3,90.161,8.864,3,53
546,404.04,90.161,8.542,3,55
547,404.78,90.161,7.938,3,73
548,405.52,90.161,7.537,3,47
549,406.26,90.161,7.186,3,46
550,407,90.161,6.881,3,28
551,407.74,90.161,7.921,3,40
552,408.48,90.161,7.599,3,42
553,409.22,90.161,6.621,3,46
554,409.96,90.161,6.712,3,29
555,410.7,90.161,6.65,3,26
556,411.44,90.161,6.424,3,31
557,412.18,90.161,5.96,3,42
558,412.92,90.161,6.373,3,26
559,413.66,90.161,6.831,3,35
560,414.4,90.161,6.226,3,27
561,415.14,90.161,6.582,3,50
562,415.88,90.161,6.593,3,31
563,416.62,90.161,6.746,3,36
564,417.36,90.161,6.379,3,32
565,418.1,90.161,6.977,3,40
566,418.84,90.161,7.407,3,45
567,419.58,90.161,7.232,3,32
568,420.32,90.161,6.955,3,29
569,421.06,90.161,6.655,3,33
570,421.8,90.161,6.938,3,40
571,422.54,90.161,7.079,3,36
572,423.28,90.161,6.678,3,35
573,424.02,90.161,6.864,3,33
574,424.76,90.161,6.288,3,26
575,425.5,90.161,6.808,3,40
576,426.24,90.161,6.701,3,31
577,426.98,90.161,7.458,3,35
578,427.72,90.161,8.215,3,37
579,428.46,90.161,7.13,3,45
580,429.2,90.161,5.887,3,32
581,429.94,90.161,6.61,3,49
582,430.68,90.161,7.175,3,42
583,431.42,90.161,7.463,3,39
584,432.16,90.161,8.418,3,44
585,432.9,90.161,7.407,3,42
586,433.64,90.161,6.056,3,46
587,434.38,90.161,6.944,3,37
588,435.12,90.161,7.203,3,35
589,435.86,90.161,7.446,3,52
590,436.6,90.161,8.068,3,60
591,437.34,90.161,6.87,3,41
592,438.08,90.161,6.802,3,29
593,438.82,90.161,7.542,3,45
594,439.56,90.161,6.362,3,32
595,440.3,90.161,6.463,3,24
596,441.04,90.161,6.333,3,32
597,441.78,90.161,6.571,2,42
598,442.52,90.161,7.768,3,201
599,443.26,90.161,6.458,3,28
600,444,90.161,6.13,3,35
601,444.74,90.161,6.277,3,31
602,445.48,90.161,6.39,3,36
603,446.22,90.161,5.768,3,28
604,446.96,90.161,6.757,0,201
605,447.7,90.161,5.949,3,42
606,448.44,90.161,6.141,3,31
607,449.18,90.161,6.655,3,27
608,449.92,90.161,6.424,3,27
609,450.66,90.161,6.463,3,38
610,451.4,90.161,6.226,3,47
611,452.14,90.161,6.136,3,33
612,452.88,90.161,7.328,3,38
613,453.62,90.161,6.802,3,46
614,454.36,90.161,6.593,3,30
615,455.1,90.161,6.113,3,30
616,455.84,90.161,6.672,3,44
617,456.58,90.161,6.91,3,41
618,457.32,90.161,6.774,3,35
619,458.06,90.161,6.22,3,32
620,458.8,90.161,6.192,3,28
621,459.54,90.161,6.633,3,37
622,460.28,90.161,7.068,3,43
623,461.02,90.161,6.91,3,38
624,461.76,90.161,6.621,3,38
625,462.5,90.161,6.751,3,42
626,463.24,90.161,6.13,3,25
627,463.98,90.161,6.842,3,35
628,464.72,90.161,8.831,3,51
