Frame,Time,Dextran_Area,Dextran_Mean,Dextran_Min,Dextran_Max
240,104.88,123.035,4.027,0,12
241,105.317,123.035,2.703,0,14
242,105.754,123.035,3.865,0,12
243,106.191,123.035,3.162,0,14
244,106.628,123.035,2.405,0,12
245,107.065,123.035,2.676,0,12
246,107.502,123.035,5.811,0,14
247,107.939,123.035,2.892,0,14
248,108.376,123.035,2.27,0,12
249,108.813,123.035,7.243,0,41
250,109.25,123.035,3.135,0,12
251,109.687,123.035,4.162,0,17
252,110.124,123.035,3.568,0,12
253,110.561,123.035,2.757,0,12
254,110.998,123.035,4.216,0,22
255,111.435,123.035,3.405,0,12
256,111.872,123.035,3.73,0,14
257,112.309,123.035,3.243,0,12
258,112.746,123.035,3.784,0,19
259,113.183,123.035,2.703,0,7
260,113.62,123.035,5.946,0,103
261,114.057,123.035,5,0,22
262,114.494,123.035,3.135,0,12
263,114.931,123.035,3.73,0,12
264,115.368,123.035,3.919,0,14
265,115.805,123.035,4.108,0,12
266,116.242,123.035,4.514,0,19
267,116.679,123.035,4.595,0,19
268,117.116,123.035,2.757,0,9
269,117.553,123.035,4.378,0,14
270,117.99,123.035,3.811,0,17
271,118.427,123.035,4.27,0,14
272,118.864,123.035,4.405,0,17
273,119.301,123.035,4.189,0,14
274,119.738,123.035,4.595,0,12
275,120.175,123.035,2.757,0,9
276,120.612,123.035,4.541,0,22
277,121.049,123.035,3.892,0,14
278,121.486,123.035,5,0,24
279,121.923,123.035,3.324,0,17
280,122.36,123.035,3.73,0,12
281,122.797,123.035,5.324,0,14
282,123.234,123.035,2.919,0,9
283,123.671,123.035,3.973,0,17
284,124.108,123.035,2.432,0,9
285,124.545,123.035,4.459,0,17
286,124.982,123.035,2.649,0,7
287,125.419,123.035,3.514,0,12
288,125.856,123.035,4.541,0,12
289,126.293,123.035,3.081,0,12
290,126.73,123.035,2.351,0,9
291,127.167,123.035,5.892,0,27
292,127.604,123.035,3.919,0,17
293,128.041,123.035,3.649,0,12
294,128.478,123.035,5.946,0,22
295,128.915,123.035,3.324,0,9
296,129.352,123.035,4.27,0,14
297,129.789,123.035,6.216,0,22
298,130.226,123.035,3.27,0,12
299,130.663,123.035,3.405,0,12
300,131.1,123.035,6.459,0,24
301,131.537,123.035,4.919,0,27
302,131.974,123.035,4.703,0,27
303,132.411,123.035,9.189,0,22
304,132.848,123.035,3.757,0,19
305,133.285,123.035,3.108,0,12
306,133.722,123.035,8.73,0,24
307,134.159,123.035,3.189,0,17
308,134.596,123.035,3.459,0,9
309,135.033,123.035,5.784,0,22
310,135.47,123.035,3.595,0,19
311,135.907,123.035,5.054,0,41
312,136.344,123.035,5.73,0,27
313,136.781,123.035,4.946,0,22
314,137.218,123.035,5.351,0,14
315,137.655,123.035,5.189,0,12
316,138.092,123.035,4.973,0,22
317,138.529,123.035,3.784,0,14
318,138.966,123.035,5.189,0,12
